TABLE_NAME,COLUMN_NAME,DATA_TYPE
vw_RHZCompleteMauzaTotals,mauza_id,uniqueidentifier
vw_RHZCompleteMauzaTotals,land_type_id,uniqueidentifier
vw_RHZCompleteMauzaTotals,land_type_name,nvarchar
vw_RHZCompleteMauzaTotals,Total_Area,varchar
vw_RHZCompleteMauzaTotals,nCountKhasra,int
vw_RHZCompleteMauzaTotals,Mauza_Total_Area,varchar
vw_RHZCompleteMauzaTotals,Total_Cultivated_Area_0,varchar
vw_RHZCompleteMauzaTotals,Total_Cultivated_Area_1,varchar
vw_RHZCompleteMauzaTotals,is_updated,bit
vw_RHZCompleteMauzaTotals,is_cultivated,bit
vw_RHZCompleteMauzaTotals,area_format,smallint
vw_RHZCompleteMauzaTotals,nMinkhasra,int
vw_Khatuni,khatuni_id,uniqueidentifier
vw_Khatuni,parent_khatuni_id,uniqueidentifier
vw_Khatuni,khewat_id,uniqueidentifier
vw_Khatuni,khatuni_no,nvarchar
vw_Khatuni,old_khatuni_no,nvarchar
vw_Khatuni,khatuni_type_id,uniqueidentifier
vw_Khatuni,khatuni_description,nvarchar
vw_Khatuni,laagan,nvarchar
vw_Khatuni,is_blocked,bit
vw_Khatuni,block_detail,nvarchar
vw_Khatuni,total_share,varchar
vw_Khatuni,total_area,varchar
vw_Khatuni,is_updated,bit
vw_Khatuni,mauza_id,uniqueidentifier
vw_Khatuni,mauza_name,nvarchar
vw_Khatuni,taraf_id,uniqueidentifier
vw_Khatuni,taraf_name,nvarchar
vw_Khatuni,patti_id,uniqueidentifier
vw_Khatuni,patti_name,nvarchar
vw_Khatuni,khewat_no,nvarchar
vw_Khatuni,is_active,bit
vw_Khatuni,wrong_fields,varchar
vw_Khatuni,is_wrong,bit
vw_Khatuni,user_id,uniqueidentifier
vw_Khatuni,access_datetime,datetime
vw_Khatuni,time_stamp,timestamp
vw_Khatuni,sub_khatuni_no,nvarchar
vw_Khatuni,khatuni_type_name,nvarchar
vw_Khatuni,net_khatuni_area,real
vw_Khatuni,area_format,smallint
RegisterScheme,Register_scheme_id,uniqueidentifier
RegisterScheme,mauza_id,uniqueidentifier
RegisterScheme,person_name,nvarchar
RegisterScheme,old_area,bigint
RegisterScheme,new_area,bigint
