TABLE_NAME,COLUMN_NAME,DATA_TYPE
IntiqalKhasra,access_datetime,datetime
IntiqalKhasra,area_format,smallint
IntiqalKhasra,intiqal_logicalpartition_id,uniqueidentifier
IntiqalKhasra,intiqalkhasra_id,uniqueidentifier
IntiqalKhasra,is_new,bit
IntiqalKhasra,khasra_id,uniqueidentifier
IntiqalKhasra,khasra_remaining_area,varchar
IntiqalKhasra,khasra_remaining_area1,int
IntiqalKhasra,khasra_selling_area,varchar
IntiqalKhasra,khasra_selling_area1,int
IntiqalKhasra,khasra_total_area,varchar
IntiqalKhasra,khasra_total_area1,int
IntiqalKhasra,khewat_total_area1,int
IntiqalKhasra,new_khasra_no,varbinary
IntiqalKhasra,time_stamp,timestamp
IntiqalKhasra,user_id,uniqueidentifier
IntiqalPersonInfo,access_datetime,datetime
IntiqalPersonInfo,dep_person_id,uniqueidentifier
IntiqalPersonInfo,intiqal_id,uniqueidentifier
IntiqalPersonInfo,intiqalperson_id,uniqueidentifier
IntiqalPersonInfo,is_alive,bit
IntiqalPersonInfo,is_verified,bit
IntiqalPersonInfo,old_person_caste_id,uniqueidentifier
IntiqalPersonInfo,old_person_name,nvarchar
IntiqalPersonInfo,person_id,uniqueidentifier
IntiqalPersonInfo,status,int
IntiqalPersonInfo,time_stamp,timestamp
IntiqalPersonInfo,user_id,uniqueidentifier
IntiqalPersonShare,access_datetime,datetime
IntiqalPersonShare,area_format,smallint
IntiqalPersonShare,buyer_bakibadastoor,varchar
IntiqalPersonShare,intiqal_logicalpartition_id,uniqueidentifier
IntiqalPersonShare,intiqalperson_id,uniqueidentifier
IntiqalPersonShare,is_new,bit
IntiqalPersonShare,khewat_total_area,varchar
IntiqalPersonShare,khewat_total_khasra,varchar
IntiqalPersonShare,measured_area,varchar
IntiqalPersonShare,person_id,uniqueidentifier
IntiqalPersonShare,person_remaining_area,varchar
IntiqalPersonShare,person_remaining_share,varbinary
IntiqalPersonShare,person_selling_area,varchar
IntiqalPersonShare,person_selling_share,varbinary
IntiqalPersonShare,person_status_id,smallint
IntiqalPersonShare,person_total_area,varchar
IntiqalPersonShare,person_total_area1,int
IntiqalPersonShare,person_total_share,varbinary
IntiqalPersonShare,poss_person_status_id,uniqueidentifier
IntiqalPersonShare,seller_bakibadastoor,varchar
IntiqalPersonShare,time_stamp,timestamp
IntiqalPersonShare,total_area_transf,varchar
IntiqalPersonShare,total_share_transf,varchar
IntiqalPersonShare,user_id,uniqueidentifier
