Column_name,Type,Computed,Length,Prec,Scale,Nullable,TrimTrailingBlanks,FixedLenNullInSource,Collation
ownership_id,uniqueidentifier,no,16,"     ","     ",no,(n/a),(n/a),NULL
khewat_id,uniqueidentifier,no,16,"     ","     ",no,(n/a),(n/a),NULL
person_id,uniqueidentifier,no,16,"     ","     ",no,(n/a),(n/a),NULL
intiqal_id,uniqueidentifier,no,16,"     ","     ",yes,(n/a),(n/a),NULL
person_status_id,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
person_share_old,varbinary,no,300,"     ","     ",yes,no,yes,NULL
person_area,varchar,no,50,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
dep_person_id,uniqueidentifier,no,16,"     ","     ",no,(n/a),(n/a),NULL
print_sequence_no,int,no,4,"10   ","0    ",no,(n/a),(n/a),NULL
is_updated,bit,no,1,"     ","     ",no,(n/a),(n/a),NULL
is_active,bit,no,1,"     ","     ",yes,(n/a),(n/a),NULL
is_wrong,bit,no,1,"     ","     ",yes,(n/a),(n/a),NULL
wrong_fields,varchar,no,200,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
user_id,uniqueidentifier,no,16,"     ","     ",no,(n/a),(n/a),NULL
is_blocked,bit,no,1,"     ","     ",yes,(n/a),(n/a),NULL
block_detail,nvarchar,no,2000,"     ","     ",yes,(n/a),(n/a),SQL_Latin1_General_CP1_CI_AS
access_datetime,datetime,no,8,"     ","     ",no,(n/a),(n/a),NULL
kamasmarla,bit,no,1,"     ","     ",yes,(n/a),(n/a),NULL
time_stamp,timestamp,no,8,"     ","     ",no,(n/a),(n/a),NULL
person_area_new,bigint,no,8,"19   ","0    ",yes,(n/a),(n/a),NULL
area_format,smallint,no,2,"5    ","0    ",yes,(n/a),(n/a),NULL
kanal_area,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
marla_area,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
fsg_area,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
inch_area,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
name_tarf_numberdar,nvarchar,no,200,"     ","     ",yes,(n/a),(n/a),SQL_Latin1_General_CP1_CI_AS
parta_qisam_war,nvarchar,no,200,"     ","     ",yes,(n/a),(n/a),SQL_Latin1_General_CP1_CI_AS
sys_datetime,datetime,no,8,"     ","     ",yes,(n/a),(n/a),NULL
created_usr_id,uniqueidentifier,no,16,"     ","     ",yes,(n/a),(n/a),NULL
Area,int,no,4,"10   ","0    ",yes,(n/a),(n/a),NULL
person_share,varchar,no,250,"     ","     ",yes,no,yes,SQL_Latin1_General_CP1_CI_AS
